airline,source_city,destination_city,journey_date,departure_time,arrival_time,total_stops,travel_class,booking_window_days,season,day_of_week,is_holiday,aircraft_type,distance_km,rating,price_inr,duration_minutes,journey_month,journey_day,departure_hour,arrival_hour,route
spicejet,chennai,ahmedabad,17-12-2025,03:20,06:50,0,business,106,summer,wednesday,0,B787,2007,4.3,15170,210,12,17,3,6,chennai -> ahmedabad
airasia india,kolkata,chennai,25-05-2025,09:10,12:46,0,economy,42,monsoon,sunday,0,B787,1369,4.4,8059,216,5,25,9,12,kolkata -> chennai
air india,kolkata,pune,30-01-2025,00:50,04:26,0,economy,98,summer,wednesday,0,B787,660,3.7,3894,216,1,30,0,4,kolkata -> pune
akasa air,chennai,kolkata,03-08-2025,03:10,06:52,0,economy,78,winter,sunday,0,A321,1377,4.7,5414,222,8,3,3,6,chennai -> kolkata
spicejet,mumbai,chennai,30-07-2025,14:00,15:18,1,economy,2,winter,wednesday,0,A350,2449,4.6,15760,78,7,30,14,15,mumbai -> chennai
akasa air,chennai,kolkata,24-02-2025,01:15,05:51,1,economy,53,summer,monday,0,A321,1102,3.8,6835,276,2,24,1,5,chennai -> kolkata
spicejet,chennai,ahmedabad,25-09-2025,03:00,05:36,0,economy,35,spring,thursday,0,ATR72,959,4.9,6367,156,9,25,3,5,chennai -> ahmedabad
vistara,pune,hyderabad,20-04-2025,21:40,00:34,2,economy,80,monsoon,sunday,0,A320,2599,4.7,33112,174,4,20,21,0,pune -> hyderabad
airasia india,delhi,bengaluru,14-02-2025,09:50,12:20,1,economy,4,summer,friday,0,A321,2485,3.8,16360,150,2,14,9,12,delhi -> bengaluru
indigo,ahmedabad,chennai,07-11-2025,02:30,07:12,0,economy,34,spring,friday,0,B787,613,4.5,2854,282,11,7,2,7,ahmedabad -> chennai
spicejet,kolkata,bengaluru,04-01-2025,16:15,19:27,0,business,36,summer,saturday,0,A321,1065,3.7,13814,192,1,4,16,19,kolkata -> bengaluru
spicejet,pune,delhi,15-07-2025,11:10,14:22,1,economy,117,winter,tuesday,0,A321,1460,4.3,7654,954,7,15,11,14,pune -> delhi
spicejet,mumbai,pune,14-04-2025,21:30,23:18,1,economy,66,monsoon,monday,0,B737,1248,4.4,7590,108,4,14,21,23,mumbai -> pune
airasia india,ahmedabad,mumbai,21-10-2025,08:15,14:27,2,economy,64,spring,tuesday,0,A321,1261,4.5,7009,372,10,21,8,14,ahmedabad -> mumbai
indigo,mumbai,chennai,13-09-2025,04:40,08:46,0,economy,72,spring,saturday,0,ATR72,5754,4.1,4734,246,9,13,4,8,mumbai -> chennai
air india,chennai,kolkata,19-07-2025,09:20,11:56,1,economy,17,winter,saturday,0,B737,998,3.5,8122,156,7,19,9,11,chennai -> kolkata
indigo,hyderabad,mumbai,12-01-2025,05:10,07:34,0,business,2,summer,sunday,0,B787,917,3.5,15216,144,1,12,5,7,hyderabad -> mumbai
airasia india,mumbai,pune,06-03-2025,15:20,17:38,0,economy,83,monsoon,thursday,0,B737,2096,4.5,6249,138,3,6,15,17,mumbai -> pune
akasa air,hyderabad,bengaluru,01-08-2025,11:00,15:48,0,economy,10,winter,friday,0,B737,619,4.8,4926,288,8,1,11,15,hyderabad -> bengaluru
airasia india,delhi,pune,30-03-2025,15:10,18:34,0,economy,94,monsoon,sunday,0,A320,1862,4.2,6292,204,3,30,15,18,delhi -> pune
air india,ahmedabad,chennai,30-04-2025,06:40,09:46,0,economy,95,monsoon,wednesday,1,A320,904,4.7,4844,186,4,30,6,9,ahmedabad -> chennai
air india,bengaluru,chennai,07-08-2025,09:40,12:46,1,economy,75,winter,thursday,0,ATR72,1128,4.7,5757,186,8,7,9,12,bengaluru -> chennai
indigo,hyderabad,kolkata,22-01-2025,07:45,12:45,0,economy,98,summer,wednesday,0,B737,501,3.8,3470,300,1,22,7,12,hyderabad -> kolkata
akasa air,ahmedabad,hyderabad,06-05-2025,17:30,22:06,1,economy,7,monsoon,wednesday,0,A321,525,4.2,3530,276,5,6,17,22,ahmedabad -> hyderabad
vistara,delhi,bengaluru,15-06-2025,00:10,03:52,0,economy,93,winter,sunday,0,A321,419,4.2,2469,222,6,15,0,3,delhi -> bengaluru
airasia india,mumbai,delhi,18-07-2025,22:10,23:10,2,economy,88,winter,friday,0,B787,656,4,4864,60,7,18,22,23,mumbai -> delhi
spicejet,kolkata,bengaluru,01-09-2025,03:40,08:16,0,economy,45,spring,monday,0,B787,821,4.2,4788,276,9,1,3,8,kolkata -> bengaluru
airasia india,hyderabad,delhi,03-07-2025,03:30,08:24,1,economy,51,winter,thursday,0,A320,1867,4.1,9456,294,7,3,3,8,hyderabad -> delhi
air india,chennai,mumbai,02-11-2025,23:30,04:30,0,economy,61,spring,sunday,0,ATR72,2646,3.6,9643,300,11,2,23,4,chennai -> mumbai
airasia india,delhi,bengaluru,25-08-2025,21:20,01:14,0,economy,61,winter,monday,0,A350,1036,3.9,3858,1326,8,25,21,1,delhi -> bengaluru
akasa air,kolkata,bengaluru,29-12-2025,15:50,20:14,1,economy,101,summer,monday,1,B787,1225,3.5,8841,264,12,29,15,20,kolkata -> bengaluru
indigo,delhi,ahmedabad,01-11-2025,19:20,20:38,0,economy,44,spring,saturday,0,B737,1946,4,10187,78,11,1,19,20,delhi -> ahmedabad
air india,kolkata,mumbai,21-06-2025,19:50,22:32,2,economy,23,winter,saturday,0,A350,419,4.2,5175,162,6,21,19,22,kolkata -> mumbai
airasia india,pune,bengaluru,20-08-2025,15:20,18:08,1,economy,53,winter,wednesday,0,A350,843,4,5376,168,8,20,15,18,pune -> bengaluru
spicejet,delhi,mumbai,20-07-2025,05:30,10:18,0,economy,22,winter,sunday,0,B737,906,4.2,4627,288,7,20,5,10,delhi -> mumbai
air india,ahmedabad,mumbai,07-10-2025,16:40,20:52,1,economy,97,spring,tuesday,0,B787,2649,4.4,11090,252,10,7,16,20,ahmedabad -> mumbai
spicejet,mumbai,ahmedabad,09-09-2025,01:30,05:48,0,economy,72,spring,tuesday,0,B787,1219,3.5,3702,258,9,9,1,5,mumbai -> ahmedabad
spicejet,delhi,chennai,01-03-2025,04:00,06:54,0,business,47,monsoon,saturday,0,B787,2110,4.7,21741,174,3,1,4,6,delhi -> chennai
vistara,delhi,ahmedabad,26-02-2025,16:15,19:15,0,economy,37,summer,wednesday,0,ATR72,466,4.2,4013,180,2,26,16,19,delhi -> ahmedabad
spicejet,chennai,pune,14-05-2025,17:40,22:58,0,economy,98,monsoon,wednesday,1,ATR72,2062,4.7,2823,318,5,14,17,22,chennai -> pune
indigo,pune,kolkata,20-05-2025,04:00,07:36,1,economy,23,monsoon,tuesday,0,A350,472,4.8,14559,216,5,20,4,7,pune -> kolkata
airasia india,kolkata,ahmedabad,02-05-2025,14:45,17:45,2,economy,118,monsoon,friday,0,A321,669,4.8,5680,180,5,2,14,17,kolkata -> ahmedabad
akasa air,kolkata,delhi,27-09-2025,13:50,19:08,0,economy,27,spring,saturday,0,A321,1390,3.9,7487,318,9,27,13,19,kolkata -> delhi
air india,kolkata,bengaluru,09-09-2025,04:50,06:20,0,economy,5,spring,tuesday,0,A350,969,4.5,7173,90,9,9,4,6,kolkata -> bengaluru
airasia india,chennai,pune,02-06-2025,15:45,21:33,2,economy,78,winter,wednesday,0,A321,693,4.2,6422,348,6,2,15,21,chennai -> pune
airasia india,ahmedabad,bengaluru,03-12-2025,23:50,03:38,1,economy,89,summer,wednesday,0,ATR72,1917,4.6,7072,228,12,3,23,3,ahmedabad -> bengaluru
airasia india,bengaluru,mumbai,08-12-2025,15:15,17:15,0,economy,102,summer,monday,0,B787,2322,3.9,7655,120,12,8,15,17,bengaluru -> mumbai
akasa air,ahmedabad,pune,05-07-2025,00:50,02:26,1,economy,9,winter,saturday,0,B737,1589,4.1,8120,96,7,5,0,2,ahmedabad -> pune
vistara,bengaluru,mumbai,21-10-2025,21:15,02:09,0,economy,42,spring,tuesday,0,A320,1088,4.2,5460,294,10,21,21,2,bengaluru -> mumbai
airasia india,mumbai,kolkata,19-08-2025,21:50,23:26,1,economy,12,winter,tuesday,0,B737,1977,4,9645,96,8,19,21,23,mumbai -> kolkata
indigo,delhi,bengaluru,11-10-2025,13:10,16:04,0,economy,61,spring,wednesday,0,A350,376,4.2,4359,174,10,11,13,16,delhi -> bengaluru
spicejet,ahmedabad,pune,29-11-2025,20:10,01:04,1,economy,57,spring,saturday,0,A320,1745,4.9,9527,294,11,29,20,1,ahmedabad -> pune
vistara,bengaluru,hyderabad,30-09-2025,14:40,16:04,0,business,74,spring,tuesday,0,A350,1224,4.9,11689,84,9,30,14,16,bengaluru -> hyderabad
air india,hyderabad,delhi,12-08-2025,16:40,20:40,1,economy,19,winter,tuesday,0,A321,2771,4,12077,240,8,12,16,20,hyderabad -> delhi
spicejet,bengaluru,mumbai,10-07-2025,21:15,03:57,2,economy,113,winter,thursday,0,B787,567,3.7,4503,402,7,10,21,3,bengaluru -> mumbai
akasa air,delhi,bengaluru,26-11-2025,02:30,07:12,0,economy,10,spring,wednesday,0,A321,2536,3.8,9420,282,11,26,2,7,delhi -> bengaluru
akasa air,pune,hyderabad,01-09-2025,03:40,07:52,1,economy,12,spring,monday,0,A350,2564,3.7,12726,252,9,1,3,7,pune -> hyderabad
akasa air,chennai,pune,04-02-2025,22:20,03:50,1,economy,16,summer,tuesday,0,A321,613,4.6,5727,330,2,4,22,3,chennai -> pune
airasia india,bengaluru,hyderabad,27-03-2025,01:45,06:27,0,economy,81,monsoon,thursday,0,A350,1148,4.8,5110,282,3,27,1,6,bengaluru -> hyderabad
airasia india,bengaluru,ahmedabad,24-04-2025,19:45,23:15,1,economy,9,monsoon,thursday,0,B787,586,4.8,3788,210,4,24,19,23,bengaluru -> ahmedabad
air india,pune,kolkata,18-01-2025,11:00,16:06,0,economy,59,summer,saturday,0,B787,903,3.9,6246,306,1,18,11,16,pune -> kolkata
spicejet,bengaluru,chennai,21-02-2025,00:00,04:00,1,economy,102,summer,friday,0,ATR72,696,3.8,3687,240,2,21,0,4,bengaluru -> chennai
indigo,mumbai,chennai,04-10-2025,07:20,09:08,1,economy,85,spring,saturday,0,B787,732,4.2,6698,108,10,4,7,9,mumbai -> chennai
vistara,hyderabad,kolkata,19-12-2025,03:30,09:54,0,economy,107,summer,friday,0,B787,1493,4.5,6483,384,12,19,3,9,hyderabad -> kolkata
airasia india,bengaluru,chennai,02-11-2025,05:45,11:51,1,economy,12,spring,sunday,0,A320,1865,3.9,11076,366,11,2,5,11,bengaluru -> chennai
akasa air,kolkata,chennai,19-12-2025,03:00,05:18,0,economy,107,summer,friday,0,B737,849,4.3,3866,138,12,19,3,5,kolkata -> chennai
akasa air,pune,bengaluru,05-01-2025,21:15,01:09,0,economy,35,summer,sunday,1,A350,1816,4.5,9643,234,1,5,21,1,pune -> bengaluru
airasia india,kolkata,pune,02-03-2025,09:30,13:00,0,economy,81,monsoon,sunday,0,B787,1190,4.8,6652,210,3,2,9,13,kolkata -> pune
airasia india,bengaluru,hyderabad,08-08-2025,19:00,22:18,0,economy,98,winter,friday,0,B787,924,4.5,3975,1020,8,8,19,22,bengaluru -> hyderabad
indigo,ahmedabad,hyderabad,13-11-2025,10:30,16:24,0,business,93,spring,thursday,0,ATR72,823,3.8,9724,354,11,13,10,16,ahmedabad -> hyderabad
vistara,hyderabad,ahmedabad,24-05-2025,05:30,11:30,2,economy,100,monsoon,saturday,0,A321,2689,3.6,13677,360,5,24,5,11,hyderabad -> ahmedabad
airasia india,delhi,kolkata,25-04-2025,00:20,03:02,0,economy,84,monsoon,friday,0,ATR72,1875,4.2,3160,162,4,25,0,3,delhi -> kolkata
indigo,bengaluru,pune,02-01-2025,06:00,09:24,0,economy,15,summer,thursday,1,A320,1730,4,8113,204,1,2,6,9,bengaluru -> pune
airasia india,delhi,ahmedabad,10-06-2025,20:45,01:03,0,economy,103,winter,tuesday,0,B737,2037,3.8,6440,258,6,10,20,1,delhi -> ahmedabad
airasia india,mumbai,kolkata,19-02-2025,00:15,04:21,0,business,112,summer,wednesday,0,B737,657,4.2,8304,246,2,19,0,4,mumbai -> kolkata
spicejet,kolkata,ahmedabad,20-04-2025,01:20,07:44,1,business,35,monsoon,sunday,0,ATR72,1021,4.2,14149,384,4,20,1,7,kolkata -> ahmedabad
akasa air,kolkata,ahmedabad,21-06-2025,03:15,06:51,0,economy,21,winter,saturday,0,A320,1862,3.9,3428,216,6,21,3,6,kolkata -> ahmedabad
air india,delhi,pune,20-11-2025,18:45,23:09,1,economy,34,spring,thursday,0,A321,951,4.2,5577,264,11,20,18,23,delhi -> pune
air india,chennai,hyderabad,02-10-2025,00:15,02:51,1,economy,4,spring,thursday,0,A321,1200,3.6,10836,156,10,2,0,2,chennai -> hyderabad
airasia india,delhi,kolkata,11-08-2025,10:40,12:28,0,economy,64,winter,monday,0,B787,1424,4.1,4777,108,8,11,10,12,delhi -> kolkata
spicejet,pune,kolkata,25-09-2025,16:20,20:56,2,economy,42,spring,thursday,0,B737,2277,3.8,11266,276,9,25,16,20,pune -> kolkata
spicejet,ahmedabad,chennai,26-01-2025,20:20,01:38,0,economy,5,summer,sunday,0,B787,1277,3.6,7786,318,1,26,20,1,ahmedabad -> chennai
spicejet,hyderabad,mumbai,04-12-2025,04:40,08:10,1,business,56,summer,thursday,0,B787,665,3.8,11768,210,12,4,4,8,hyderabad -> mumbai
spicejet,mumbai,kolkata,15-06-2025,18:15,21:57,0,economy,18,winter,wednesday,0,A321,1117,3.9,4870,222,6,15,18,21,mumbai -> kolkata
indigo,delhi,hyderabad,03-03-2025,16:10,18:10,0,economy,4,monsoon,monday,0,A350,2117,4,10843,120,3,3,16,18,delhi -> hyderabad
akasa air,pune,bengaluru,22-10-2025,22:30,00:42,2,economy,45,spring,wednesday,0,B787,1953,3.6,9269,132,10,22,22,0,pune -> bengaluru
akasa air,mumbai,ahmedabad,02-03-2025,15:20,16:32,0,economy,3,monsoon,sunday,0,B787,1487,4.8,9382,72,3,2,15,16,mumbai -> ahmedabad
akasa air,ahmedabad,hyderabad,08-07-2025,11:20,15:32,0,business,12,winter,tuesday,0,B787,1230,4.1,13755,252,7,8,11,15,ahmedabad -> hyderabad
akasa air,kolkata,hyderabad,22-06-2025,08:20,13:02,1,economy,56,winter,sunday,0,A320,533,4.6,6064,282,6,22,8,13,kolkata -> hyderabad
vistara,hyderabad,pune,23-01-2025,19:20,21:56,0,economy,66,summer,thursday,1,B737,1135,4,5968,156,1,23,19,21,hyderabad -> pune
air india,ahmedabad,chennai,03-08-2025,07:15,12:27,2,economy,87,winter,sunday,0,ATR72,865,4.3,6487,312,8,3,7,12,ahmedabad -> chennai
air india,kolkata,ahmedabad,22-01-2025,23:20,02:38,1,business,41,summer,wednesday,0,A320,1466,3.7,17039,198,1,22,23,2,kolkata -> ahmedabad
airasia india,mumbai,delhi,22-09-2025,23:20,00:20,0,business,72,spring,monday,0,B787,1029,3.6,11563,60,9,22,23,0,mumbai -> delhi
indigo,delhi,pune,05-07-2025,17:20,22:14,1,economy,51,winter,saturday,0,B787,1239,3.9,6898,294,7,5,17,22,delhi -> pune
akasa air,ahmedabad,delhi,23-07-2025,07:50,11:26,1,business,43,winter,wednesday,0,ATR72,642,3.6,10752,216,7,23,7,11,ahmedabad -> delhi
vistara,ahmedabad,hyderabad,18-03-2025,15:10,20:10,1,economy,26,monsoon,tuesday,0,A350,2502,4.2,10093,300,3,18,15,20,ahmedabad -> hyderabad
spicejet,delhi,kolkata,02-04-2025,00:40,05:04,1,economy,45,monsoon,wednesday,0,A350,1175,4.4,6242,264,4,2,0,5,delhi -> kolkata
indigo,mumbai,chennai,12-04-2025,22:45,00:27,1,economy,108,monsoon,saturday,0,A350,1574,3.9,7764,102,4,12,22,0,mumbai -> chennai
air india,mumbai,chennai,15-06-2025,11:45,15:21,2,economy,61,winter,sunday,0,B787,1769,4.7,9397,216,6,15,11,15,mumbai -> chennai
air india,pune,kolkata,09-12-2025,12:50,18:14,0,business,17,summer,tuesday,0,A350,846,4.1,10194,324,12,9,12,18,pune -> kolkata
airasia india,pune,chennai,10-02-2025,04:00,08:12,0,business,26,summer,monday,0,B787,2163,4.1,20030,252,2,10,4,8,pune -> chennai
spicejet,ahmedabad,delhi,19-12-2025,05:30,08:36,0,economy,24,summer,friday,0,A350,1416,3.5,6401,186,12,19,5,8,ahmedabad -> delhi
spicejet,pune,chennai,22-04-2025,13:30,16:30,0,economy,114,monsoon,tuesday,0,B787,1601,4.2,6949,180,4,22,13,16,pune -> chennai
airasia india,hyderabad,pune,24-09-2025,15:45,17:51,0,economy,92,spring,wednesday,0,A320,2786,4.4,10292,126,9,24,15,17,hyderabad -> pune
vistara,kolkata,chennai,06-09-2025,20:15,01:39,0,economy,49,spring,saturday,1,B787,565,4,4701,324,9,6,20,1,kolkata -> chennai
airasia india,ahmedabad,pune,22-11-2025,19:50,01:20,0,economy,35,spring,saturday,0,B787,1023,4,6174,330,11,22,19,1,ahmedabad -> pune
vistara,chennai,mumbai,07-08-2025,12:40,17:22,1,economy,80,winter,thursday,0,A321,1422,4.2,6315,282,8,7,12,17,chennai -> mumbai
akasa air,pune,hyderabad,17-06-2025,17:50,20:38,0,business,61,winter,tuesday,0,B737,2586,4.6,81490,168,6,17,17,20,pune -> hyderabad
indigo,bengaluru,chennai,24-07-2025,06:20,11:38,0,economy,23,winter,thursday,0,A321,2668,4.5,9535,318,7,24,6,11,bengaluru -> chennai
indigo,mumbai,chennai,03-11-2025,23:15,00:51,0,economy,115,spring,monday,0,A321,2019,4.9,6405,96,11,3,23,0,mumbai -> chennai
airasia india,bengaluru,chennai,14-08-2025,03:30,08:12,0,economy,115,winter,thursday,0,B787,1696,4.6,7031,282,8,14,3,8,bengaluru -> chennai
spicejet,delhi,hyderabad,04-09-2025,05:20,07:56,0,economy,54,spring,thursday,0,B737,1092,3.8,5429,156,9,4,5,7,delhi -> hyderabad
akasa air,ahmedabad,chennai,12-07-2025,19:45,21:09,1,economy,83,winter,saturday,0,B787,2657,3.6,10598,84,7,12,19,21,ahmedabad -> chennai
airasia india,chennai,kolkata,01-06-2025,17:15,21:15,0,economy,12,winter,sunday,0,B787,1957,4.7,8020,240,6,1,17,21,chennai -> kolkata
indigo,chennai,kolkata,13-08-2025,15:45,19:03,0,economy,58,winter,wednesday,0,B737,535,4.8,4164,198,8,13,15,19,chennai -> kolkata
indigo,hyderabad,kolkata,31-01-2025,21:40,23:04,2,business,2,summer,friday,1,A350,1875,3.9,40856,84,1,31,21,23,hyderabad -> kolkata
air india,mumbai,chennai,17-11-2025,13:45,16:27,0,economy,4,spring,monday,0,B787,1616,4.3,10678,162,11,17,13,16,mumbai -> chennai
airasia india,chennai,bengaluru,31-07-2025,12:30,17:12,1,economy,33,winter,thursday,0,B787,673,3.6,9679,282,7,31,12,17,chennai -> bengaluru
vistara,mumbai,pune,15-03-2025,03:20,04:20,0,economy,8,monsoon,saturday,0,B787,2622,3.7,10640,60,3,15,3,4,mumbai -> pune
akasa air,chennai,ahmedabad,13-04-2025,06:40,10:10,0,economy,67,monsoon,sunday,0,A321,2114,3.5,7675,210,4,13,6,10,chennai -> ahmedabad
spicejet,ahmedabad,hyderabad,18-10-2025,11:40,18:22,0,business,18,spring,saturday,0,A321,1912,4.2,6385,402,10,18,11,18,ahmedabad -> hyderabad
vistara,hyderabad,pune,13-11-2025,02:15,07:33,2,business,81,spring,thursday,0,A320,733,4.4,11789,318,11,13,2,7,hyderabad -> pune
vistara,delhi,kolkata,13-06-2025,14:40,18:40,0,economy,64,winter,friday,0,A321,2303,3.9,8183,240,6,13,14,18,delhi -> kolkata
airasia india,chennai,mumbai,19-12-2025,04:40,08:52,0,economy,48,summer,friday,0,A350,1157,4.8,7477,252,12,19,4,8,chennai -> mumbai
vistara,pune,hyderabad,17-03-2025,14:45,19:09,1,economy,14,monsoon,monday,0,B787,2167,3.9,11526,264,3,17,14,19,pune -> hyderabad
vistara,hyderabad,kolkata,09-12-2025,22:45,02:03,0,economy,61,summer,tuesday,0,B737,2313,4.2,10775,198,12,9,22,2,hyderabad -> kolkata
vistara,chennai,hyderabad,18-10-2025,05:10,06:46,0,economy,55,spring,saturday,0,B787,1827,3.6,8684,96,10,18,5,6,chennai -> hyderabad
air india,kolkata,bengaluru,10-07-2025,14:40,19:04,1,economy,114,winter,wednesday,0,A321,2521,4.1,10183,264,7,10,14,19,kolkata -> bengaluru
vistara,delhi,hyderabad,02-03-2025,13:40,17:16,0,economy,77,monsoon,sunday,0,B787,1888,4,7386,216,3,2,13,17,delhi -> hyderabad
air india,ahmedabad,bengaluru,01-12-2025,05:45,07:15,0,economy,88,summer,monday,0,B787,2320,3.8,8614,90,12,1,5,7,ahmedabad -> bengaluru
akasa air,delhi,chennai,07-02-2025,18:15,20:15,1,business,108,summer,friday,0,B737,1223,4.7,15037,120,2,7,18,20,delhi -> chennai
airasia india,chennai,delhi,30-07-2025,08:30,13:12,0,economy,79,winter,wednesday,0,B787,870,4.6,5528,282,7,30,8,13,chennai -> delhi
vistara,chennai,kolkata,19-03-2025,00:40,05:04,2,economy,50,monsoon,wednesday,0,A320,371,4.8,4460,264,3,19,0,5,chennai -> kolkata
airasia india,kolkata,mumbai,23-04-2025,18:20,00:38,0,economy,98,monsoon,wednesday,0,A350,950,3.6,5783,378,4,23,18,0,kolkata -> mumbai
